cart_id,customer_id,product_id,cart_date,items_in_cart,cart_value,session_minutes,abandoned,traffic_source
1,817,386,2024-11-01,4,683.11,12,1,Ads
2,264,242,2024-08-26,4,820.05,1,1,Email
3,21,152,2024-11-30,1,897.05,39,1,Social
4,867,274,2024-11-24,2,308.58,21,0,Direct
5,137,234,2024-01-29,3,639.52,34,0,Social
6,937,264,2024-10-18,5,966.97,7,1,Ads
7,450,177,2024-09-27,5,1035.89,23,0,Social
8,304,73,2024-02-29,3,909.12,33,1,Direct
9,592,224,2024-04-10,5,453.87,36,1,Social
10,784,251,2024-02-18,4,994.89,23,1,Social
11,845,373,2024-05-09,5,918.21,4,0,Direct
12,133,378,2024-05-25,3,878.3,16,1,Email
13,654,230,2024-04-03,4,581.78,4,0,Direct
14,754,380,2024-04-09,2,50.33,43,0,Direct
15,22,120,2024-09-03,2,1093.5,19,0,Email
16,333,224,2024-10-21,3,740.85,57,0,Direct
17,401,178,2024-02-04,5,150.03,41,1,Direct
18,173,91,2024-09-13,4,467.34,5,1,Social
19,396,58,2024-09-20,4,1128.15,45,1,Social
20,778,211,2024-09-11,5,927.66,3,1,Direct
21,774,139,2024-08-29,4,49.9,44,0,Email
22,907,214,2024-09-30,2,480.62,47,0,Email
23,101,313,2024-01-20,5,1068.79,28,0,Direct
24,283,377,2024-06-14,5,195.7,35,0,Social
25,738,398,2024-06-29,1,851.05,35,0,Email
26,755,283,2024-04-15,1,1108.99,7,1,Direct
27,307,144,2024-05-02,1,386.81,52,0,Social
28,730,338,2024-09-06,4,320.3,9,0,Direct
29,293,164,2024-07-01,3,617.92,28,1,Direct
30,336,159,2024-03-26,1,865.92,58,0,Direct
31,70,49,2024-12-10,4,706.76,3,1,Direct
32,901,230,2024-08-28,2,1034.71,30,0,Direct
33,117,88,2024-05-29,3,311.9,17,0,Social
34,82,229,2024-09-24,3,336.6,23,1,Email
35,664,175,2024-02-22,4,1035.05,44,1,Direct
36,577,135,2024-02-04,2,586.01,55,0,Ads
37,877,23,2024-09-12,5,598.71,42,1,Email
38,420,389,2024-10-14,3,999.37,25,0,Direct
39,932,149,2024-05-07,2,891.29,43,1,Ads
40,989,262,2024-11-27,3,1000.55,54,1,Email
41,242,142,2024-01-06,3,784.4,32,0,Ads
42,584,73,2024-06-09,4,127.09,41,0,Direct
43,59,61,2024-12-27,5,334.55,49,1,Email
44,814,206,2024-09-18,4,745.34,4,0,Ads
45,511,232,2024-01-29,4,355.92,14,1,Ads
46,457,375,2024-04-28,3,93.67,24,0,Email
47,947,378,2024-11-06,2,362.69,33,0,Ads
48,519,37,2024-02-02,3,620.51,57,0,Direct
49,75,241,2024-09-24,4,40.57,7,0,Social
50,761,400,2024-05-04,5,656.14,46,0,Social
51,238,351,2024-01-21,3,21.59,39,1,Ads
52,928,323,2024-03-12,1,1065.37,26,0,Direct
53,61,101,2024-11-15,4,855.99,40,1,Social
54,175,334,2024-06-05,5,471.87,17,1,Direct
55,30,309,2024-12-20,1,199.04,45,1,Direct
56,143,67,2024-03-20,5,967.2,55,1,Social
57,554,71,2024-08-30,4,587.38,25,0,Social
58,32,183,2024-03-31,3,142.63,14,1,Ads
59,468,194,2024-04-11,3,930.26,47,1,Email
